Employee_ID,Department,Emails_Sent,Emails_Received,Meetings_Hours,Z_Score,Docs_Created,Sheets_Collaborated,Tasks_Completed,Week,Collaboration_Index,Productivity_Score,Communication_Load,Collaboration_Load
E0001,Support,49,82,10.49560827,0,11,12,20,12,2.000764071,1.739794844,131,23
E0002,Engineering,48,86,14.87464323,2,17,5,15,9,1.385857917,0.944903125,134,22
E0003,Finance,48,74,12.44652201,1,14,6,17,11,1.487373462,1.264267443,122,20
E0004,Support,74,68,4.703597478,-2,9,8,18,2,2.980574991,3.155902931,142,17
E0005,HR,58,70,14.16616734,1,7,3,11,5,0.659362367,0.725298604,128,10
E0006,Finance,41,76,13.6128387,1,7,4,17,5,0.752762706,1.163360545,117,11
E0007,Finance,44,82,14.62938455,2,11,5,24,11,1.023712734,1.535569102,126,16
E0008,Support,55,74,13.32732554,1,13,4,15,6,1.18654385,1.046950456,129,17
E0009,Marketing,48,67,8.421592487,-1,9,5,20,3,1.48594837,2.122783386,115,14
E0010,HR,58,82,4.435256129,-2,6,0,18,7,1.103903819,3.311711458,140,6
E0011,Support,48,62,13.51277859,1,6,5,23,5,0.757952719,1.584810231,110,11
E0012,HR,58,54,12.3297984,1,3,6,21,6,0.675179004,1.575417675,112,9
E0013,HR,60,75,4.084206357,-2,7,7,23,11,2.753625446,4.523813233,135,14
E0014,Finance,43,82,7.107105224,-1,12,6,15,12,2.220274624,1.850228853,125,18
E0015,Engineering,46,74,7.191376883,-1,13,6,25,6,2.319512369,3.051989959,120,19
E0016,HR,47,68,12.18241355,1,6,4,22,7,0.758586428,1.668890141,115,10
E0017,Operations,60,62,9.95349918,0,11,2,21,7,1.186835347,1.917195561,122,13
E0018,Finance,39,65,9.208954113,0,8,5,21,4,1.273391951,2.057017768,104,13
E0019,Marketing,56,65,8.741562525,0,7,5,21,1,1.231835239,2.155711668,121,12
E0020,Engineering,58,85,6.62299721,-1,7,4,16,1,1.443001971,2.098911958,143,11
E0021,Operations,49,65,12.89614564,1,7,4,20,1,0.791586407,1.439248013,114,11
E0022,Operations,48,63,7.819331357,-1,8,5,16,3,1.474034649,1.814196491,111,13
E0023,Marketing,51,82,13.48712865,1,11,6,24,2,1.173455445,1.656642981,133,17
E0024,Engineering,36,79,5.820885409,-1,9,2,13,12,1.612693857,1.905910922,115,11
E0025,Finance,55,72,8.524085036,-1,7,4,16,5,1.154966588,1.679951401,127,11
E0026,Sales,43,64,15.89449977,2,6,5,22,5,0.651099479,1.302198958,107,11
E0027,Engineering,49,87,10.70386694,0,15,6,21,5,1.794278773,1.794278773,136,21
E0028,Marketing,34,56,8.528359429,-1,10,5,18,3,1.574247919,1.889097503,90,15
E0029,Operations,46,64,8.115740237,-1,8,2,24,4,1.097003616,2.632808678,110,10
E0030,Finance,53,64,7.391817841,-1,2,7,20,10,1.072473232,2.383273848,117,9
E0031,Engineering,56,55,11.36109092,0,12,7,20,5,1.537081162,1.617980171,111,19
E0032,Sales,60,82,12.69578935,1,5,7,19,3,0.8761817,1.387287692,142,12
E0033,Sales,44,66,10.75389172,0,5,4,25,6,0.765703838,2.126955104,110,9
E0034,HR,40,72,9.822347537,0,9,5,21,8,1.293619518,1.940429276,112,14
E0035,HR,44,67,11.80470613,1,11,2,24,6,1.015251726,1.874310879,111,13
E0036,Support,51,66,5.786325686,-1,6,7,19,7,1.915616875,2.79974774,117,13
E0037,Marketing,47,74,11.1342462,0,2,3,23,3,0.41205691,1.895461787,121,5
E0038,Engineering,56,65,11.30396306,0,10,2,23,2,0.975295516,1.869316405,121,12
E0039,Engineering,45,64,10.80205909,0,8,5,31,2,1.101502704,2.626660293,109,13
E0040,Support,45,65,8.33431155,-1,9,5,21,1,1.499842803,2.249764205,110,14
E0041,Operations,50,66,7.674870418,-1,3,2,21,7,0.576377486,2.42078544,116,5
E0042,Operations,66,63,6.097513565,-1,4,5,17,1,1.268049708,2.395205003,129,9
E0043,Support,41,66,14.41174472,1,7,7,26,1,0.908398125,1.687025089,107,14
E0044,Operations,56,74,9.832968061,0,8,4,21,12,1.107729657,1.938526901,130,12
E0045,HR,49,72,8.728611153,0,7,6,30,1,1.336264735,3.083687849,121,13
E0046,Engineering,42,63,8.436310368,-1,8,7,24,1,1.589604349,2.543366959,105,15
E0047,Support,57,63,7.130521475,-1,15,4,21,11,2.336873478,2.58286016,120,19
E0048,Engineering,47,71,8.392888196,-1,7,4,16,10,1.17109879,1.703416422,118,11
